contract addresses and deployment tx hashes:
mnist_v1_sop11_subsop1 deployed at addr=0x026fea56304047695a7634b5c3d2db20b9ce821929b52404f6989ac87b23e46a with tx_hash=0x3529a51f458b92334e395b8bde81edca4f7814ae5d1c94fc157641d26fa90a7
mnist_v1_sop11_subsop2 deployed at addr=0x05292c38858a0d861fe3ae7594c68f3f6904b3cb01ce496121703c82d41ad9bb with tx_hash=0xe979438d66b23debcd09ee38e82f4a1bf6e441656caf879511ae8a09ec7f4d
mnist_v1_sop11_subsop3 deployed at addr=0x026ef957fa980e12cd95f10b627efd0850244728cb8ce408e0148da00ae35572 with tx_hash=0x775da7cfe4546cda998aef5f0fcbfdb629fdcd8f99ed4a3bbc579981468d9ad
mnist_v1_sop11_subsop4 deployed at addr=0x0697f9581d0b9bb4f4ed5488cda0dde99fbd6befa994c555749e39f3e4541a8d with tx_hash=0x17b685e633a0d760854b05945283c6c27032d024321c5b6e9ec4634612e1a58
mnist_v1_sop11_subsop5 deployed at addr=0x06a3e1036b5bed3a3f0aabc52d1777bd9550727c5cc162ef9527b8e83097a703 with tx_hash=0x1ce093848b3a36986fa454ffd72e75b08f2683a2e5544b18a3764990f21b4b4
mnist_v1_sop11_subsop6 deployed at addr=0x035de86c3a126a109057288cf887f0cdb0b88085e1499fded0d81a5520793a06 with tx_hash=0x7a9d62f5206620b4d20b376d26991b854b5d22f84717bbcd06bc31b86905799
mnist_v1_sop11_subsop7 deployed at addr=0x0319b44858aeea92a2dfa0e1c911b1a4807f1aaf06f461e5df92fdf176222298 with tx_hash=0x6ceb8d80b3771ea7ed4ae77956e882fd20ba06ec57fb877ec2489d95b1082c4
mnist_v1_sop12 deployed at addr=0x06e51b3a41a6f6af0391b5c9be75ee8420784cd872423336a3927c0d3b8c6367 with tx_hash=0x68be14c55d61859e9087f15293037daec7008028668a3f384457497c9cf6884
mnist_v1_sop12_subsop0 deployed at addr=0x05caa4f900192bbaadec991eb1dd9ba791c12e4fac21eb960a173d28e4df5c96 with tx_hash=0x4a206d83ae07afe8384de87bad67f1f9a6b5cd54c9e148b277d7cdb0041ed2e
mnist_v1_sop12_subsop1 deployed at addr=0x022094850e20470ac3a43cc0290dbf06364f2ccf6c3050777ba0ddc43ab0f5be with tx_hash=0x50a35c2272b6dce7b2b20322f809c47cb641377d5770d1bead4fc31896e9057
mnist_v1_sop12_subsop2 deployed at addr=0x050b98ae7fed49177a105c56fb663e492ba1b9770a187d5b20ddeb9e1c7c2495 with tx_hash=0x2e637ea595dc5f4db566fb3de3a130e08c7cf5d92c962c3a13994a65640720
mnist_v1_sop12_subsop3 deployed at addr=0x0535e49a8861ea78fc226b9a7b8971dc9f5f3aa16949821a12031d8acdef66cc with tx_hash=0x4f81d9c901a98f2f93f4551aa390fecf7123308ca86b1f0626e33444eb81bcd
mnist_v1_sop12_subsop4 deployed at addr=0x00c976f0cdf6df7adfaff7919012d89f7e01a26c01a7973395d467bc402a77bf with tx_hash=0x145cccd0ed52836e8f2a9a696f6f3665b99069536040be4a463c012219ce9a1
mnist_v1_sop12_subsop5 deployed at addr=0x04ca5f6d40a7ccce514bd598ce54e9a4aaae4082efd80d6037f612e38e9e4a59 with tx_hash=0x161eddcbbc125b373181abbd928e6350a2055d36dea45b3a0f6c9645533be73
